,pattern,frequency
415,"('Cmin', 'Cmaj', 'Amaj', 'Cmin')",2
44,"('Dmin', 'Fmaj', 'Dmaj', 'Fmaj')",2
615,"('Fmaj', 'Amin', 'Emin', 'Fmaj')",2
790,"('Cmaj', 'Bbmaj', 'Dmin', 'Bbmaj')",2
495,"('Amin', 'Cmaj', 'Amin', 'Amaj')",2
656,"('Amaj', 'Emin', 'Cmaj', 'Emin')",2
515,"('Gmaj', 'Gmin', 'Cmaj', 'Gmaj')",2
409,"('Gmaj', 'Amaj', 'Gmaj', 'Amaj')",2
406,"('Fmaj', 'Emin', 'Amin', 'Fmaj')",2
652,"('Gmaj', 'Amaj', 'Emin', 'Cmaj')",2
794,"('Amaj', 'Amin', 'Fmaj', 'Cmaj')",2
651,"('Cmaj', 'Gmaj', 'Amaj', 'Emin')",2
650,"('Emin', 'Cmaj', 'Gmaj', 'Amaj')",2
346,"('Dmaj', 'Gmaj', 'Dmin', 'Gmaj')",2
31,"('Bbmaj', 'Fmaj', 'Dmin', 'Bbmaj')",2
350,"('Dbmin', 'Cmaj', 'Fmaj', 'Abmaj')",2
496,"('Cmaj', 'Fmaj', 'Amin', 'Amaj')",2
602,"('Bbmin', 'Fmaj', 'Cmaj', 'Bbmaj')",2
239,"('Fmaj', 'Dmaj', 'Fmaj', 'Cmaj')",2
184,"('Gmaj', 'Dmin', 'Cmaj', 'Fmaj')",2
464,"('Gmaj', 'Fmaj', 'Gmaj', 'Cmaj')",2
581,"('Amin', 'Gmaj', 'Ebmaj', 'Amin')",2
188,"('Dmin', 'Dmaj', 'Emaj', 'Fmaj')",2
238,"('Cmaj', 'Fmaj', 'Dmaj', 'Fmaj')",2
115,"('Gmaj', 'Amin', 'Gmaj', 'Cmaj')",2
701,"('Dmaj', 'Fmaj', 'Dmin', 'Dmaj')",2
190,"('Emaj', 'Fmaj', 'Gmaj', 'Dmin')",2
192,"('Fmaj', 'Dmin', 'Fmaj', 'Gmin')",2
741,"('Gmaj', 'Gmin', 'Fmaj', 'Gmin')",2
703,"('Emin', 'Fmaj', 'Gmaj', 'Cmaj')",2
742,"('Gmin', 'Fmaj', 'Gmin', 'Gmaj')",2
484,"('Dmaj', 'Amaj', 'Amin', 'Cmaj')",2
725,"('Bmaj', 'Bmin', 'Amin', 'Cmaj')",2
130,"('Bbmaj', 'Cmaj', 'Fmaj', 'Cmaj')",2
228,"('Fmaj', 'Gmaj', 'Amin', 'Cmaj')",2
706,"('Cmaj', 'Gmaj', 'Fmaj', 'Amin')",2
225,"('Gmaj', 'Amin', 'Cmaj', 'Amin')",2
752,"('Cmaj', 'Gmaj', 'Cmaj', 'Ebmaj')",2
493,"('Dmin', 'Amin', 'Dmin', 'Amin')",2
